                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.28546,                0.25726,                0.91336,                0.99732,                 0.9884,                 0.9933,                0.98657,                 0.1573,                0.15804,                0.77167,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                0.19764,                 0.1781,                0.82008,                0.99678,                0.99049,                0.99327,                0.98722,                0.15863,                0.15971,                0.76894,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                0.18989,                0.17443,                0.81165,                 0.9958,                0.99075,                 0.9934,                0.98745,                0.15724,                0.15876,                0.76838,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.18965,                0.17238,                0.81176,                0.99563,                0.99083,                0.99392,                0.98749,                0.15667,                0.15761,                0.76789,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                0.18452,                0.16988,                0.81125,                0.99692,                0.99003,                0.99366,                0.98816,                0.15395,                0.15375,                0.76719,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                0.18065,                0.16565,                0.80545,                 0.9957,                0.99097,                0.99365,                0.98821,                0.15373,                0.15405,                0.76632,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                0.17646,                 0.1643,                0.80667,                0.99644,                0.99073,                0.99357,                0.98793,                0.15237,                 0.1524,                0.76633,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                0.17789,                0.16126,                0.80462,                0.99698,                 0.9905,                0.99355,                0.98792,                0.15229,                0.15105,                0.76595,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                 0.1748,                0.16075,                0.80779,                0.99649,                0.99093,                0.99358,                0.98808,                0.15075,                0.15023,                0.76584,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.17274,                 0.1582,                0.80579,                0.99674,                0.99049,                0.99388,                0.98833,                0.15055,                  0.151,                 0.7658,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    100,                0.16912,                0.15532,                0.80537,                0.99675,                0.99037,                0.99392,                 0.9881,                0.14953,                0.14912,                0.76518,             1.6577e-05,             1.6577e-05,             1.6577e-05
