                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.32698,                0.28034,                0.91668,                0.99848,                0.99537,                0.99496,                0.98584,                0.18239,                0.17358,                0.76625,             0.00023924,             0.00023924,             0.00023924
                     74,                 0.3346,                0.28285,                0.92062,                0.99923,                0.99513,                0.99497,                0.98638,                0.18391,                0.17712,                0.76613,             0.00023099,             0.00023099,             0.00023099
                     75,                0.33442,                0.28181,                0.92214,                0.99885,                0.99519,                0.99498,                0.98715,                0.18111,                0.17322,                0.76568,             0.00022274,             0.00022274,             0.00022274
                     76,                0.32129,                0.27663,                 0.9157,                0.99923,                0.99537,                0.99497,                0.98714,                0.18084,                0.17107,                0.76618,              0.0002145,              0.0002145,              0.0002145
                     77,                0.32636,                0.27928,                0.91748,                0.99888,                0.99527,                0.99495,                0.98759,                0.17725,                0.16891,                 0.7649,             0.00020625,             0.00020625,             0.00020625
                     78,                0.32092,                0.27828,                0.91938,                0.99878,                0.99553,                0.99498,                0.98811,                 0.1732,                0.16736,                0.76351,               0.000198,               0.000198,               0.000198
                     79,                0.31629,                0.27389,                0.91896,                0.99899,                0.99526,                0.99498,                0.98753,                 0.1757,                0.16992,                 0.7641,             0.00018976,             0.00018976,             0.00018976
                     80,                0.31658,                0.26577,                0.91377,                0.99889,                0.99544,                0.99498,                0.98795,                0.17444,                0.16577,                0.76357,             0.00018151,             0.00018151,             0.00018151
                     81,                0.31024,                0.26946,                0.91419,                0.99852,                0.99568,                0.99497,                 0.9876,                0.17153,                0.16501,                0.76352,             0.00017326,             0.00017326,             0.00017326
                     82,                0.31427,                0.26999,                0.91893,                0.99881,                0.99542,                0.99498,                0.98811,                0.17077,                0.16511,                0.76483,             0.00016502,             0.00016502,             0.00016502
                     83,                0.30779,                0.26545,                0.90659,                0.99898,                0.99524,                0.99498,                0.98864,                0.16879,                0.16242,                0.76332,             0.00015677,             0.00015677,             0.00015677
                     84,                0.30341,                0.26261,                0.91227,                0.99907,                0.99531,                0.99499,                0.98884,                0.16861,                0.16399,                0.76283,             0.00014852,             0.00014852,             0.00014852
                     85,                0.30647,                0.26206,                0.91116,                0.99891,                0.99521,                0.99499,                0.98886,                0.16671,                0.16175,                0.76206,             0.00014028,             0.00014028,             0.00014028
                     86,                0.30387,                0.26436,                0.90919,                0.99883,                0.99541,                0.99499,                0.98926,                0.16542,                0.16036,                 0.7618,             0.00013203,             0.00013203,             0.00013203
                     87,                0.29665,                 0.2554,                0.90609,                0.99859,                0.99548,                0.99499,                0.98897,                0.16575,                0.15988,                0.76093,             0.00012378,             0.00012378,             0.00012378
                     88,                0.30147,                 0.2612,                0.90963,                0.99879,                0.99542,                0.99499,                0.98844,                 0.1648,                0.15956,                0.76048,             0.00011554,             0.00011554,             0.00011554
                     89,                0.28832,                0.25197,                0.90611,                0.99896,                0.99526,                0.99499,                0.98891,                 0.1637,                0.15994,                0.76084,             0.00010729,             0.00010729,             0.00010729
                     90,                0.29647,                0.25579,                0.91111,                0.99902,                0.99544,                0.99499,                0.98952,                0.16325,                0.15796,                0.76028,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                 0.2046,                0.18208,                0.80546,                0.99907,                0.99536,                0.99497,                0.98838,                0.16599,                0.16068,                0.75821,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                0.20262,                0.17626,                0.80556,                0.99881,                0.99548,                0.99499,                0.98851,                0.16367,                0.15742,                0.75648,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.19399,                0.17014,                0.80191,                 0.9988,                0.99549,                0.99498,                0.98849,                0.16143,                0.15546,                0.75635,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                0.19311,                0.16751,                0.80114,                0.99918,                0.99531,                0.99499,                0.98869,                0.16162,                 0.1563,                0.75621,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                0.18901,                0.16652,                0.79831,                0.99884,                0.99564,                0.99499,                0.98916,                 0.1589,                0.15536,                0.75476,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                0.18635,                0.16512,                0.80324,                0.99889,                0.99555,                0.99499,                0.98933,                0.15817,                 0.1535,                0.75462,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                0.18632,                 0.1642,                0.79881,                0.99889,                0.99558,                0.99499,                0.98923,                0.15731,                0.15339,                0.75412,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                0.18314,                0.15871,                0.79845,                0.99907,                0.99558,                0.99499,                0.98982,                0.15555,                0.15288,                0.75394,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.18127,                0.15919,                0.79696,                 0.9991,                0.99554,                0.99499,                0.99007,                 0.1546,                0.15138,                0.75362,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    100,                0.17751,                0.15598,                 0.7957,                0.99883,                0.99561,                  0.995,                0.98997,                0.15454,                0.15146,                0.75334,             1.6577e-05,             1.6577e-05,             1.6577e-05
